France Gate 2 weather rework — full steam — 2026-09-25
One fresh Open-Meteo HTTP fetch per scene. The retrieval timestamp is that response's HTTP Date header, recorded to the second.
Each scenario minute is the minute already baked on the master. It sits inside the model-valid hour cited for that scene.
Weather is model data, not an on-site observation. approval_status stays Candidate. Images, index.html, and manifests were not changed.
Scenes reworked: 248

Entry | Retrieval timestamp (UTC) | Model-valid hour | Scenario
FR-01-319 | 2026-09-25T23:55:09Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:15 Europe/Paris
FR-01-320 | 2026-09-25T23:55:10Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:15 Europe/Paris
FR-01-321 | 2026-09-25T23:55:12Z | 2026-09-23T18:00 America/Marigot | 23 September 2026 · 18:30 America/Marigot
FR-01-322 | 2026-09-25T23:55:13Z | 2026-09-23T20:00 America/Miquelon | 23 September 2026 · 20:30 America/Miquelon
FR-01-323 | 2026-09-25T23:55:15Z | 2026-09-23T13:00 Pacific/Marquesas | 23 September 2026 · 13:00 Pacific/Marquesas
FR-01-324 | 2026-09-25T23:55:16Z | 2026-09-24T09:00 Pacific/Noumea | 24 September 2026 · 09:30 Pacific/Noumea
FR-01-325 | 2026-09-25T23:55:18Z | 2026-09-23T18:00 America/Guadeloupe | 23 September 2026 · 18:30 America/Guadeloupe
FR-01-326 | 2026-09-25T23:55:19Z | 2026-09-23T19:00 America/Cayenne | 23 September 2026 · 19:30 America/Cayenne
FR-01-327 | 2026-09-25T23:55:21Z | 2026-09-24T02:00 Indian/Reunion | 24 September 2026 · 02:30 Indian/Reunion
FR-01-329 | 2026-09-25T23:55:22Z | 2026-09-24T01:00 Indian/Mayotte | 24 September 2026 · 01:30 Indian/Mayotte
FR-01-330 | 2026-09-25T23:55:24Z | 2026-09-23T18:00 America/St_Barthelemy | 23 September 2026 · 18:30 America/St_Barthelemy
FR-01-331 | 2026-09-25T23:55:25Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:30 Europe/Paris
FR-01-332 | 2026-09-25T23:55:27Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:30 Europe/Paris
FR-01-333 | 2026-09-25T23:55:28Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:30 Europe/Paris
FR-01-334 | 2026-09-25T23:56:16Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:30 Europe/Paris
FR-01-335 | 2026-09-25T23:56:18Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:30 Europe/Paris
FR-01-336 | 2026-09-25T23:56:19Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:30 Europe/Paris
FR-01-337 | 2026-09-25T23:56:21Z | 2026-09-23T18:00 America/Marigot | 23 September 2026 · 18:45 America/Marigot
FR-01-338 | 2026-09-25T23:56:22Z | 2026-09-23T20:00 America/Miquelon | 23 September 2026 · 20:45 America/Miquelon
FR-01-339 | 2026-09-25T23:56:24Z | 2026-09-23T13:00 Pacific/Marquesas | 23 September 2026 · 13:15 Pacific/Marquesas
FR-01-340 | 2026-09-25T23:56:26Z | 2026-09-24T09:00 Pacific/Noumea | 24 September 2026 · 09:45 Pacific/Noumea
FR-01-341 | 2026-09-25T23:56:27Z | 2026-09-23T18:00 America/Guadeloupe | 23 September 2026 · 18:45 America/Guadeloupe
FR-01-342 | 2026-09-25T23:56:29Z | 2026-09-23T19:00 America/Cayenne | 23 September 2026 · 19:45 America/Cayenne
FR-01-343 | 2026-09-25T23:56:30Z | 2026-09-24T02:00 Indian/Reunion | 24 September 2026 · 02:45 Indian/Reunion
FR-01-344 | 2026-09-25T23:56:32Z | 2026-09-23T18:00 America/Martinique | 23 September 2026 · 18:45 America/Martinique
FR-01-345 | 2026-09-25T23:56:33Z | 2026-09-24T01:00 Indian/Mayotte | 24 September 2026 · 01:45 Indian/Mayotte
FR-01-346 | 2026-09-25T23:56:35Z | 2026-09-23T18:00 America/St_Barthelemy | 23 September 2026 · 18:45 America/St_Barthelemy
FR-01-347 | 2026-09-25T23:56:36Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:45 Europe/Paris
FR-01-348 | 2026-09-25T23:56:38Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:45 Europe/Paris
FR-01-349 | 2026-09-25T23:56:39Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:45 Europe/Paris
FR-01-350 | 2026-09-25T23:56:41Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:45 Europe/Paris
FR-01-351 | 2026-09-25T23:56:43Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:45 Europe/Paris
FR-01-352 | 2026-09-25T23:56:44Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:45 Europe/Paris
FR-01-353 | 2026-09-25T23:56:46Z | 2026-09-23T19:00 America/Marigot | 23 September 2026 · 19:00 America/Marigot
FR-01-354 | 2026-09-25T23:56:47Z | 2026-09-23T21:00 America/Miquelon | 23 September 2026 · 21:00 America/Miquelon
FR-01-355 | 2026-09-25T23:56:49Z | 2026-09-23T13:00 Pacific/Marquesas | 23 September 2026 · 13:30 Pacific/Marquesas
FR-01-356 | 2026-09-25T23:56:51Z | 2026-09-24T10:00 Pacific/Noumea | 24 September 2026 · 10:00 Pacific/Noumea
FR-01-357 | 2026-09-25T23:56:52Z | 2026-09-23T19:00 America/Guadeloupe | 23 September 2026 · 19:00 America/Guadeloupe
FR-01-358 | 2026-09-25T23:56:54Z | 2026-09-23T20:00 America/Cayenne | 23 September 2026 · 20:00 America/Cayenne
FR-01-359 | 2026-09-25T23:56:55Z | 2026-09-24T03:00 Indian/Reunion | 24 September 2026 · 03:00 Indian/Reunion
FR-01-360 | 2026-09-25T23:56:57Z | 2026-09-23T19:00 America/Martinique | 23 September 2026 · 19:00 America/Martinique
FR-01-361 | 2026-09-25T23:56:58Z | 2026-09-24T02:00 Indian/Mayotte | 24 September 2026 · 02:00 Indian/Mayotte
FR-01-362 | 2026-09-25T23:57:00Z | 2026-09-23T19:00 America/St_Barthelemy | 23 September 2026 · 19:00 America/St_Barthelemy
FR-01-363 | 2026-09-25T23:57:02Z | 2026-09-24T01:00 Europe/Paris | 24 September 2026 · 01:00 Europe/Paris
FR-01-364 | 2026-09-25T23:57:03Z | 2026-09-24T01:00 Europe/Paris | 24 September 2026 · 01:00 Europe/Paris
FR-01-365 | 2026-09-25T23:57:05Z | 2026-09-24T01:00 Europe/Paris | 24 September 2026 · 01:00 Europe/Paris
